Asset,Expert-DAG | CausalImpact,Expert-DAG | DML,Expert-DAG | IV-2SLS,Expert-DAG | VAR+Granger,Heuristic-Z | CausalImpact,Heuristic-Z | DML,Heuristic-Z | IV-2SLS,Heuristic-Z | VAR+Granger,PC-DAG | CausalImpact,PC-DAG | DML,PC-DAG | IV-2SLS,PC-DAG | VAR+Granger,ARIMA,LSTM,Prophet,RandomForest
Bitcoin,2168.077276,2229.180309,2148.539479,2151.026701,2158.511967,2239.182506,2148.539479,2168.36997,2158.219019,2228.979129,2148.539479,2151.026701,2135.585438,9447.608943,,2152.670873
CPI,0.518613,0.619408,0.587006,0.621179,0.546333,0.733063,0.587006,0.530608,0.515828,0.644444,0.587006,0.51627,0.404415,5.13907,2.796686,0.482944
EUR/USD,0.005012,0.004919,0.004692,0.006109,0.004994,0.005004,0.004692,0.004977,0.005071,0.004926,0.004692,0.005638,0.004929,0.015786,1.418227,0.003393
Ethereum,117.836973,121.074947,114.840417,115.366974,118.788484,121.497983,114.840417,116.777085,118.926275,123.058101,114.840417,115.366974,114.605548,875.47987,,115.926074
GBP/USD,0.00604,0.006092,0.005543,0.006784,0.006127,0.014546,0.005543,0.005979,0.006092,0.005975,0.005543,0.006287,0.005851,0.050149,,0.004471
Gold,47.523062,48.368977,47.260956,47.203213,47.783868,48.116027,47.260956,47.253002,47.583369,48.986455,47.260956,47.201723,48.663975,1033.156477,3028.86546,47.479136
IndProd,1.575593,0.878868,0.913322,1.050642,1.676515,1.026795,0.913322,0.97782,1.647422,0.744986,0.913322,1.067122,0.627251,0.826774,,0.763764
Nat.Gas,0.266299,0.268532,0.267236,0.200619,0.266725,0.267868,0.267236,0.200619,0.268039,0.270373,0.268073,0.200619,0.41237,0.696854,14.50154,0.320291
UMCSENT,4.025381,3.905971,4.237295,4.132788,4.265424,4.501961,4.237295,4.429853,4.007424,4.232696,4.237295,4.132788,4.182202,6.875719,,4.112621
USD/JPY,0.908443,0.728588,0.777073,0.840031,0.914362,0.868747,0.777073,0.844391,0.907003,0.711317,0.777073,0.701025,0.904634,26.406256,,0.830464
WTI Oil,1.929098,2.059159,1.878572,1.906326,1.965191,2.00441,1.875771,1.928917,1.984557,2.407301,1.880025,1.912742,1.917074,3.275041,1.64603,1.902724
