Asset;Expert-DAG | CausalImpact;Expert-DAG | DML;Expert-DAG | IV-2SLS;Expert-DAG | VAR+Granger;Heuristic-Z | CausalImpact;Heuristic-Z | DML;Heuristic-Z | IV-2SLS;Heuristic-Z | VAR+Granger;PC-DAG | CausalImpact;PC-DAG | DML;PC-DAG | IV-2SLS;PC-DAG | VAR+Granger;ARIMA;LSTM;Prophet;RandomForest
Bitcoin;2168.077276;2229.180309;2148.539479;2151.026701;2158.511967;2239.182506;2148.539479;2168.36997;2158.219019;2228.979129;2148.539479;2151.026701;2135.585438;11084.275317;;2152.670873
CPI;0.518613;0.619408;0.587006;0.621179;0.546333;0.733063;0.587006;0.530608;0.515828;0.644444;0.587006;0.51627;0.404415;7.925788;2.796686;0.482944
EUR/USD;0.005012;0.004919;0.004692;0.006109;0.004994;0.005004;0.004692;0.004977;0.005071;0.004926;0.004692;0.005638;0.004929;0.019187;1.418227;0.003393
Ethereum;117.836973;121.074947;114.840417;115.366974;118.788484;121.497983;114.840417;116.777085;118.926275;123.058101;114.840417;115.366974;114.605548;823.092165;;115.926074
GBP/USD;0.00604;0.006092;0.005543;0.006784;0.006127;0.014546;0.005543;0.005979;0.006092;0.005975;0.005543;0.006287;0.005851;0.047435;;0.004471
Gold;47.503052;48.495234;47.210834;47.162646;47.949599;48.36991;47.210834;47.22022;47.577041;48.234442;47.210834;47.15756;68.130583;898.740086;2904.719798;47.792074
IndProd;1.575593;0.878868;0.913322;1.050642;1.676515;1.026795;0.913322;0.97782;1.647422;0.744986;0.913322;1.067122;0.627251;0.981138;;0.763764
Nat.Gas;0.269255;0.266424;0.269006;0.201655;0.268203;0.270161;0.269006;0.200485;0.267981;0.271165;0.269146;0.201655;0.20115;0.335226;17.761573;0.277165
UMCSENT;4.025381;3.905971;4.237295;4.132788;4.265424;4.501961;4.237295;4.429853;4.007424;4.232696;4.237295;4.132788;4.182202;7.022261;;4.112621
USD/JPY;0.908443;0.728588;0.777073;0.840031;0.914362;0.868747;0.777073;0.844391;0.907003;0.711317;0.777073;0.701025;0.904634;31.07946;;0.830464
WTI Oil;1.78475;1.837397;1.712673;1.768648;1.787475;1.841219;1.710994;1.79705;1.835667;2.064995;1.714409;1.773766;2.369682;7.233704;1.653202;1.768112
